city,timestamp,temperature,season
New York,2010-01-01,-0.2176385161504776,winter
New York,2010-01-02,-10.841556301070593,winter
New York,2010-01-03,-3.6717791565692397,winter
New York,2010-01-04,2.487450621898156,winter
New York,2010-01-05,2.0763554340909076,winter
New York,2010-01-06,-3.6284906134474557,winter
New York,2010-01-07,3.352480806042972,winter
New York,2010-01-08,13.344042132537734,winter
New York,2010-01-09,-3.7971311669913326,winter
New York,2010-01-10,10.291580396006106,winter
New York,2010-01-11,-4.390377953669696,winter
New York,2010-01-12,3.1559243935224317,winter
New York,2010-01-13,1.5238452292029072,winter
New York,2010-01-14,-3.195937255626488,winter
New York,2010-01-15,-9.812543947728132,winter
New York,2010-01-16,4.024674826544364,winter
New York,2010-01-17,4.1875463971860345,winter
New York,2010-01-18,1.831166432558602,winter
New York,2010-01-19,-0.5670185930954954,winter
New York,2010-01-20,5.867977195841435,winter
New York,2010-01-21,9.333027262025368,winter
New York,2010-01-22,4.150111837523875,winter
New York,2010-01-23,-8.392810893416172,winter
New York,2010-01-24,5.870556537047652,winter
New York,2010-01-25,1.720193130065477,winter
New York,2010-01-26,6.0367530110133325,winter
New York,2010-01-27,2.9977849407091735,winter
New York,2010-01-28,3.162772449449145,winter
New York,2010-01-29,-5.256285259494388,winter
New York,2010-01-30,2.4728550525186295,winter
New York,2010-01-31,-3.410717340689991,winter
New York,2010-02-01,6.4694704750120415,winter
New York,2010-02-02,-2.192207427534989,winter
New York,2010-02-03,4.354120999346836,winter
New York,2010-02-04,4.013411752836235,winter
New York,2010-02-05,-6.1310473011287545,winter
New York,2010-02-06,3.4870692965456214,winter
New York,2010-02-07,0.7768869885010843,winter
New York,2010-02-08,2.144935913317231,winter
New York,2010-02-09,7.497586177418462,winter
New York,2010-02-10,-0.17350903131257583,winter
New York,2010-02-11,-7.993057965392012,winter
New York,2010-02-12,-5.20215137694248,winter
New York,2010-02-13,-5.262221350290672,winter
New York,2010-02-14,6.761340917106322,winter
New York,2010-02-15,7.790101673618346,winter
New York,2010-02-16,-2.301649347036131,winter
New York,2010-02-17,2.9307443233627883,winter
New York,2010-02-18,-1.8933287463412003,winter
New York,2010-02-19,0.5721606833104042,winter
New York,2010-02-20,-0.909316308210017,winter
New York,2010-02-21,-4.275240321674516,winter
New York,2010-02-22,-10.732133746751733,winter
New York,2010-02-23,0.898722641417818,winter
New York,2010-02-24,3.2505415787968444,winter
New York,2010-02-25,-10.79058027804665,winter
New York,2010-02-26,3.9633892821619696,winter
New York,2010-02-27,4.707161019750929,winter
New York,2010-02-28,0.33153587715740307,winter
New York,2010-03-01,6.695779612666112,spring
New York,2010-03-02,7.9217343581802595,spring
New York,2010-03-03,0.778134282106705,spring
New York,2010-03-04,7.571290089143438,spring
New York,2010-03-05,6.419943749622431,spring
New York,2010-03-06,16.178546996673198,spring
New York,2010-03-07,15.606646359931142,spring
New York,2010-03-08,11.012550776452226,spring
New York,2010-03-09,0.9350838163858399,spring
New York,2010-03-10,8.562691110752157,spring
New York,2010-03-11,19.87289273950861,spring
New York,2010-03-12,7.583469681666946,spring
New York,2010-03-13,2.890127913784922,spring
New York,2010-03-14,18.358208791947764,spring
New York,2010-03-15,11.183827469507838,spring
New York,2010-03-16,8.369018474533203,spring
New York,2010-03-17,17.262774583700086,spring
New York,2010-03-18,15.116044141535149,spring
New York,2010-03-19,11.71082276998809,spring
New York,2010-03-20,14.110766382125087,spring
New York,2010-03-21,15.923708353282143,spring
New York,2010-03-22,10.87970991500426,spring
New York,2010-03-23,7.2244426621413576,spring
New York,2010-03-24,17.981470738842027,spring
New York,2010-03-25,7.358817529318945,spring
New York,2010-03-26,19.392986235021098,spring
New York,2010-03-27,8.68622344552981,spring
New York,2010-03-28,9.931602605868667,spring
New York,2010-03-29,13.735095928402439,spring
New York,2010-03-30,3.677631708593406,spring
New York,2010-03-31,13.43225714923489,spring
New York,2010-04-01,12.462100539447045,spring
New York,2010-04-02,5.594307403839384,spring
New York,2010-04-03,17.9017788946789,spring
New York,2010-04-04,3.768385880888262,spring
New York,2010-04-05,6.099791168862664,spring
New York,2010-04-06,10.499398380991462,spring
New York,2010-04-07,16.666650623632787,spring
New York,2010-04-08,4.654067910826082,spring
New York,2010-04-09,18.29242805723588,spring
New York,2010-04-10,3.1766610862525724,spring
New York,2010-04-11,9.699865149513533,spring
New York,2010-04-12,5.91667348218752,spring
New York,2010-04-13,13.042074238610034,spring
New York,2010-04-14,13.041259414974528,spring
New York,2010-04-15,10.86843083370149,spring
New York,2010-04-16,10.727235903372916,spring
New York,2010-04-17,6.947580625090284,spring
New York,2010-04-18,9.787797391273317,spring
New York,2010-04-19,6.120992606501952,spring
New York,2010-04-20,8.865657900854213,spring
New York,2010-04-21,11.200844064462947,spring
New York,2010-04-22,14.33701415816717,spring
New York,2010-04-23,18.964709538355127,spring
New York,2010-04-24,7.001452537364913,spring
New York,2010-04-25,8.626517698529462,spring
New York,2010-04-26,19.657083998465907,spring
New York,2010-04-27,10.195002839551492,spring
New York,2010-04-28,1.9735504893803557,spring
New York,2010-04-29,2.048897014980687,spring
New York,2010-04-30,8.807412830855672,spring
New York,2010-05-01,6.736313338342043,spring
New York,2010-05-02,12.50396276889817,spring
New York,2010-05-03,12.083348867623982,spring
New York,2010-05-04,5.255129262160833,spring
New York,2010-05-05,12.869691860539817,spring
New York,2010-05-06,14.095719889006602,spring
New York,2010-05-07,3.3405072539308236,spring
New York,2010-05-08,6.060502354060241,spring
New York,2010-05-09,13.45116799361732,spring
New York,2010-05-10,5.5145656288638,spring
New York,2010-05-11,2.760148253173363,spring
New York,2010-05-12,11.052948181084892,spring
New York,2010-05-13,4.636356555995671,spring
New York,2010-05-14,6.441784049091909,spring
New York,2010-05-15,5.788690434836852,spring
New York,2010-05-16,2.920801012014368,spring
New York,2010-05-17,13.613314707275304,spring
New York,2010-05-18,5.891019262391566,spring
New York,2010-05-19,8.50341237100429,spring
New York,2010-05-20,7.2473370969640865,spring
New York,2010-05-21,14.659846636279845,spring
New York,2010-05-22,8.818433412522593,spring
New York,2010-05-23,15.276424348104374,spring
New York,2010-05-24,15.221551025670584,spring
New York,2010-05-25,15.991562651349147,spring
New York,2010-05-26,5.850834086674014,spring
New York,2010-05-27,14.351608417881362,spring
New York,2010-05-28,8.467984402928318,spring
New York,2010-05-29,3.0842082939014057,spring
New York,2010-05-30,12.031264776375508,spring
New York,2010-05-31,13.769052165719119,spring
New York,2010-06-01,22.085516502965067,summer
New York,2010-06-02,25.246041878500073,summer
New York,2010-06-03,19.812457100061142,summer
New York,2010-06-04,16.684290181906146,summer
New York,2010-06-05,23.957239843939618,summer
New York,2010-06-06,23.88531357828739,summer
New York,2010-06-07,21.86239171992331,summer
New York,2010-06-08,25.739136745966608,summer
New York,2010-06-09,20.944107992822616,summer
New York,2010-06-10,24.025614555916345,summer
New York,2010-06-11,29.451972844903228,summer
New York,2010-06-12,21.188875480146066,summer
New York,2010-06-13,24.61680609124243,summer
New York,2010-06-14,37.144762847983564,summer
New York,2010-06-15,28.61947385496695,summer
New York,2010-06-16,17.43884570363179,summer
New York,2010-06-17,29.299052823250626,summer
New York,2010-06-18,27.48778096506486,summer
New York,2010-06-19,24.8889050829576,summer
New York,2010-06-20,17.682821183218575,summer
New York,2010-06-21,29.757165220712437,summer
New York,2010-06-22,32.930332698301974,summer
New York,2010-06-23,22.480573039523147,summer
New York,2010-06-24,18.771607750737168,summer
New York,2010-06-25,27.845596571576955,summer
New York,2010-06-26,23.589173135227956,summer
New York,2010-06-27,30.468468171398733,summer
New York,2010-06-28,22.59540710985629,summer
New York,2010-06-29,12.778284550689104,summer
New York,2010-06-30,37.190555408490226,summer
New York,2010-07-01,15.83118880095494,summer
New York,2010-07-02,30.85801863986528,summer
New York,2010-07-03,26.376895799309032,summer
New York,2010-07-04,31.917335758297234,summer
New York,2010-07-05,27.337991196694308,summer
New York,2010-07-06,35.65913246328179,summer
New York,2010-07-07,21.651103382365683,summer
New York,2010-07-08,29.609874559564517,summer
New York,2010-07-09,28.752053435584717,summer
New York,2010-07-10,14.264382586980513,summer
New York,2010-07-11,28.90787890600361,summer
New York,2010-07-12,18.56808238106883,summer
New York,2010-07-13,24.868534303866042,summer
New York,2010-07-14,26.80928542391728,summer
New York,2010-07-15,24.108285604000557,summer
New York,2010-07-16,24.460449037213117,summer
New York,2010-07-17,16.80898773349099,summer
New York,2010-07-18,26.950707983421484,summer
New York,2010-07-19,18.659813896484067,summer
New York,2010-07-20,22.735721257133594,summer
New York,2010-07-21,38.11890514593427,summer
New York,2010-07-22,23.07503271849162,summer
New York,2010-07-23,27.1638543187064,summer
New York,2010-07-24,24.991592396583723,summer
New York,2010-07-25,34.72864156730944,summer
New York,2010-07-26,13.458040677289645,summer
New York,2010-07-27,25.93726978724803,summer
New York,2010-07-28,18.282831734609786,summer
New York,2010-07-29,22.232516789320663,summer
New York,2010-07-30,26.261216311843516,summer
New York,2010-07-31,31.838871165372474,summer
New York,2010-08-01,26.439838833597957,summer
New York,2010-08-02,27.370383246934512,summer
New York,2010-08-03,17.659482440846595,summer
New York,2010-08-04,25.112279473627193,summer
New York,2010-08-05,26.433937663759693,summer
New York,2010-08-06,25.909156876989368,summer
